id,original_tweet_id,retweeted_date,author_id,original_author_id,screen_name,original_screen_name
991692803041316865,991617533194227712,2018-05-02 14:56:03,911604369551917061,487834443,Safi92834616,HasanCucuk
991692102588403713,991314489885839360,2018-05-02 14:53:16,825016420803235841,869193235918454786,tmmsantos,offensivemem3s_
991692241004527618,991433704575852544,2018-05-02 14:53:49,634806413,847735496633536512,donach69,KurdsCampaign
991691636999708672,991102360733745157,2018-05-02 14:51:25,755390902064078848,2323137780,medoviytort,HaberRisale
991697685215432704,991664937457070080,2018-05-02 15:15:27,761666619617714176,311118058,Kemalnen1,Murat_Macit58
991700180813656065,991476607251460096,2018-05-02 15:25:22,562879928,738153522277945344,broll1820,dawg_lb
991696703752364033,991649165460541442,2018-05-02 15:11:33,2672595537,919273451743076353,ONC3X,Caki__
991703028767051777,991553694788476928,2018-05-02 15:36:41,597769317,2294131202,GelBahar1,gulecyuzk
991704819696975872,991640533771534337,2018-05-02 15:43:48,783003310219464704,3438438843,yeni_umitler,DanishMan06
991701745293254656,991558444195991552,2018-05-02 15:31:35,981737728273534976,871909680452444161,arturov95978783,HenyolG
991706363205210112,991705917476474881,2018-05-02 15:49:56,971604575701565441,954124423,mamareshell1,AmyMek
991707197867356160,991704664403046400,2018-05-02 15:53:15,832441166058500096,954124423,HyHeLi123,AmyMek
991704324773433345,991703421207154688,2018-05-02 15:41:50,897619242,2481491973,PinnacleSports,cappedallday
991705788602310656,991557250656407552,2018-05-02 15:47:39,945534542424756226,3685392135,DaxAdami,bahardemir132
991705826359377922,991431912953733121,2018-05-02 15:47:48,412463058,526110917,HamzaAvci3,mehmetcheliklv
991706438723686403,991705917476474881,2018-05-02 15:50:14,313246922,954124423,shashi0828,AmyMek
991708695242342402,991689003408740352,2018-05-02 15:59:12,929420084682067969,487834443,DizaynDilan,HasanCucuk
991713594202099713,968061890344693760,2018-05-02 16:18:40,982669803444940800,833263613276200962,ch_hassansaeed1,__HijabKhan
991713061542211584,991150407463374848,2018-05-02 16:16:33,825682538416971778,2252893931,_NecdetG,NecdatG
991712457528836097,991683366671052801,2018-05-02 16:14:09,597769317,812656050960732161,GelBahar1,klmznnnnn
991710188418813954,991708914029940736,2018-05-02 16:05:08,849368218326138880,326003773,Rnsnrn111,osimsek_herkul
991709156645236736,991698032214396928,2018-05-02 16:01:02,2385672272,248829087,AsumanAntepli,ahamitbilici
991709328611725312,991708914029940736,2018-05-02 16:01:43,761337419392290816,326003773,Khalid80872414,osimsek_herkul
991714017826754560,991712260560244736,2018-05-02 16:20:21,129314386,232108392,RobinEnochs,GayRepublicSwag
991714164619071488,990386281288028160,2018-05-02 16:20:56,4866566489,18118505,Gil00006,barenakedislam
991711677384142853,991707064283156480,2018-05-02 16:11:03,1017662618,954124423,Im1sparrow,AmyMek
991716295333830658,991570087474745344,2018-05-02 16:29:24,831869357240221697,4764985268,mubariz_halilov,aklingozu
991716442113527808,991644298209906688,2018-05-02 16:29:59,828288871075086336,813914393788481540,TRUMPLICAN_2017,Nature_and_Race
991720997140099072,982702283459788800,2018-05-02 16:48:05,426409144,869193235918454786,frdaushsbullah_,offensivemem3s_
991714667960643584,991704664403046400,2018-05-02 16:22:56,932250638439854080,954124423,infidelchloe,AmyMek
991721378817732609,991652159614865409,2018-05-02 16:49:36,852788402889961472,798987580427505665,nazeem_mr,1NuevoMundo
991722930718564352,991704664403046400,2018-05-02 16:55:46,227778796,954124423,packer812,AmyMek
991722234455654400,991707038072717313,2018-05-02 16:53:00,3379584303,103105127,HB3third,specificproduct
991726030296580096,991724707799076865,2018-05-02 17:08:05,905403389466509313,92460378,AyeOzturk14,yagizefe
991724457445265408,991708914029940736,2018-05-02 17:01:50,924171577,326003773,balci_meryem,osimsek_herkul
991728303613661184,991727699344244736,2018-05-02 17:17:07,26900055,2596413645,DrMartyFox,carrieksada
991728043566780418,991358988536119296,2018-05-02 17:16:05,982701088372592642,478170193,KayaHeya,ismailcingoz1
991728060369121280,991719202208690177,2018-05-02 17:16:09,314024921,2596413645,SalomnM,carrieksada
991725808006893569,991708914029940736,2018-05-02 17:07:12,937391743678517249,326003773,nazimkarayel19,osimsek_herkul
991724507772710915,991314489885839360,2018-05-02 17:02:02,2959431927,869193235918454786,poetnocrlh,offensivemem3s_
991727229876006915,991693417624334342,2018-05-02 17:12:51,954229325892608000,49946953,ToneDeWolf1,Hevallo
991726575560388610,991708914029940736,2018-05-02 17:10:15,2243345659,326003773,al9ebraist,osimsek_herkul
991726630103060483,991432003332526080,2018-05-02 17:10:28,987748224437030917,2207137254,zazadayi20,gazikozanoglu
991729071162822656,991719202208690177,2018-05-02 17:20:10,1398840546,2596413645,john_abrahamson,carrieksada
991729150879830016,991704664403046400,2018-05-02 17:20:29,948731155033067521,954124423,Price7Y,AmyMek
991731659073642496,991725587860459520,2018-05-02 17:30:27,2610615528,23074563,DewreshEvdi,cfpierce
