author_id,hashtag,count
2097571,FinsburyPark,1
5734902,BerlinerKreis,1
5734902,Hendricks,1
5734902,Klimapolitik,1
9721292,abc15,1
10228272,ProudToBe,1
11325152,DefendRojava,1
13870942,ISIS,1
13870942,YPG,1
14613185,6MiLiars,1
14613185,HHX6,2
14613185,OPWakeTFUp,1
14667187,MarchAgainstSharia,1
14738561,100PercentHuman,1
15274083,Manisa,1
15300388,AltRight,1
15300388,MAGA,1
15300388,MLB,1
15300388,NASCAR,1
15300388,UFC,1
15300388,gop,1
15300388,pjnet,1
15300388,tcot,1
15669672,Sears,1
16106584,PrayforLondon,1
16312576,LegendsOfTomorrow,1
16818036,banislam,1
16860945,Pikeville,1
17325149,Iran,1
17325149,Qatar,1
17325149,Saudi,1
17325149,Turkey,1
17843373,Grenfell,1
18244358,Genius,1
18643437,AmericanPravda,1
18956212,KatesLaw,1
18956212,NoSanctuaryForCriminalsAct,1
19292816,StanleyCupFinal,1
19489239,BreakingNews,1
19489239,Diaspora,1
19489239,MiddleEast,1
19899606,Corbyn,1
19899606,KensingtonTownHall,1
19995182,TurkeyHandsOffAfrin,1
20429858,fedidwgugl,1
20435808,donnybrookstl,1
20989433,Feminism,1
22153676,AfD,1
22153676,Reil,1
22217443,ConquerRome,1
22217443,ConquerVatican,1
22934558,GE2017,1
23074563,Afrin,1
23074563,Turkey,1
23387115,Turkey,1
23926671,EgyParliament,1
24155607,Dreyer,1
24202654,WhichBingoAwards,1
24518690,ISIS,1
24518690,Iraq,1
24518690,Syria,1
25073877,DDay,1
25506738,SONDAKİKA,1
26735736,AI,1
26735736,dlpol,1
30651089,tcot,1
31553579,SuperHearts,1
33332251,ThingsJesusNeverSaid,1
34299028,Hilarious,1
34299028,Polyandry,1
34299028,Polygamy,1
34898084,ISIS,1
34898084,Raqqa,1
34898084,SDF,1
34898084,Syria,1
37020028,African,1
37020028,America,1
37020028,Ashkenazim,1
37020028,Berlin,1
37020028,Burke,1
37020028,Chinese,2
37020028,Christian,4
37020028,Communism,1
37020028,Dickens,1
37020028,Disraeli,1
37020028,England,1
37020028,Europe,2
37020028,France,1
37020028,French,1
37020028,Gentile,1
37020028,German,1
37020028,Germans,1
37020028,Herzl,1
37020028,Hitler,3
37020028,Holocaust,2
37020028,Islam,1
37020028,Israel,3
37020028,Jew,3
37020028,Jewish,6
37020028,Jewry,1
37020028,Jews,7
37020028,Liberals,1
37020028,Manchester,1
37020028,Messiah,1
37020028,NWO,1
37020028,NationalSocialism,1
37020028,NationalSocialist,1
37020028,Palestinian,1
37020028,Protocols,1
37020028,Russia,3
37020028,Russian,1
37020028,Sephardim,1
37020028,State,3
37020028,Weishaupt,1
37020028,West,2
37020028,Western,1
37020028,White,3
37020028,WhiteLiberals,1
37020028,Wilson,1
37020028,ZION,1
37020028,Zionism,1
37020028,Zionist,1
37020028,ZionistOccupiedGovernment,1
37020028,Zionists,6
37020028,antiSemitic,1
37020028,antisemitic,1
37020028,assassination,1
37020028,governor,1
37020028,liberals,1
37020028,revolt,1
37020028,revolution,1
37020028,unipolar,1
37020028,war,1
37764422,Investigation,1
37764422,Unmasking,1
39061599,ramadan,1
39061599,religionofpeace,1
42786325,Weimerica,1
43420311,LondonTerrorAttacks,1
43420311,haters,1
44204171,LondonBridge,2
44865971,lfclive,1
46748165,Trudeau,1
48304732,European,1
48304732,ISIS,1
48304732,IslamicState,1
48304732,LondonBridge,1
48304732,Mosul,1
48304732,Qatar,1
48304732,Secular,1
48304732,Secularism,1
48304732,Turkey,2
48304732,UK,1
48304732,democratic,1
48304732,islamiCstate,1
48304732,islamist,1
48304732,money,1
49946953,GE2017,1
49946953,LondonBridge,1
49946953,Syria,1
49946953,TurkeyHandsOffAfrin,6
49946953,TwitterKurds,8
49946953,UKElection2017,1
50797952,chp,1
50797952,gandhi,1
51885332,DemocratsAreTheProblem,1
53063155,CulturalDiplomacy,1
53063155,HumanRights,1
53063155,ISIS,1
57197277,AmericaFirst,1
58007320,BanIslam,1
58007320,MuslimBrotherhood,1
59483227,GazetecilereÖzgürlük,1
60317232,MorningJoe,1
61168062,SONDAKİKA,2
62241187,AdaletYürüyüşü,1
62513246,FinsburyPark,2
66732993,Eid,1
66732993,EidMubarak,1
66732993,SundayReads,2
66967746,Enfield,1
66967746,London,1
66967746,londonBridge,1
67813133,Afrin,1
67813133,Ghouta,1
67813133,Kurds,1
69190453,Sharia,1
69190453,racism,1
69403710,LoveIsLove,1
70024758,HeterosexualPrideDay,1
70804774,catholic,1
70804774,ccot,1
70804774,christian,1
70804774,jewish,1
73494454,WhichBingoAwards,1
73964776,Judenhass,1
73964776,nichtmituns,1
79414190,etkilenmedi,1
80808661,888poker,1
80808661,8Team,1
80808661,FreeTournament,1
80808661,HERO,1
80808661,NLHE,1
80808661,VILLAIN,1
83171810,Holocaust,1
83171810,KillTheLie,1
86989456,MarchAgainstSharia,1
87054700,KamiBersamaHTI,1
87302885,migpol,1
87302885,svpol,1
91882544,LondonAttacks,1
92460378,DarbeDavalarıSeffafOlsun,2
92460378,DuruİlaçBekliyor,1
92460378,HuseyinBagİstifa,1
92460378,OnPatreon,1
92460378,Transparency4Justice,1
93399809,Afghanistan,1
93399809,Kashmir,4
93399809,Khilafah,1
93399809,Pakistan,7
93399809,PanamaPapers,1
93399809,Ramadan,1
93399809,Ramadhan,2
93399809,ShangriLaDialogue,1
