author_id,total_hashtags,different_hashtags
2097571,1,1
5734902,3,3
9721292,1,1
10228272,1,1
11325152,1,1
13870942,2,2
14613185,4,3
14667187,1,1
14738561,1,1
15274083,1,1
15300388,8,8
15669672,1,1
16106584,1,1
16312576,1,1
16818036,1,1
16860945,1,1
17325149,4,4
17843373,1,1
18244358,1,1
18643437,1,1
18956212,2,2
19292816,1,1
19489239,3,3
19899606,2,2
19995182,1,1
20429858,1,1
20435808,1,1
20989433,1,1
22153676,2,2
22217443,2,2
22934558,1,1
23074563,2,2
23387115,1,1
23926671,1,1
24155607,1,1
24202654,1,1
24518690,3,3
25073877,1,1
25506738,1,1
26735736,2,2
30651089,1,1
31553579,1,1
33332251,1,1
34299028,3,3
34898084,4,4
37020028,93,58
37764422,2,2
39061599,2,2
42786325,1,1
43420311,2,2
44204171,2,1
44865971,1,1
46748165,1,1
48304732,15,14
49946953,18,6
50797952,2,2
51885332,1,1
53063155,3,3
57197277,1,1
58007320,2,2
59483227,1,1
60317232,1,1
61168062,2,1
62241187,1,1
62513246,2,1
66732993,4,3
66967746,3,3
67813133,3,3
69190453,2,2
69403710,1,1
70024758,1,1
70804774,4,4
73494454,1,1
73964776,2,2
79414190,1,1
80808661,6,6
83171810,2,2
86989456,1,1
87054700,1,1
87302885,2,2
91882544,1,1
92460378,6,5
93399809,18,8
96092639,2,2
96336762,3,3
99295348,18,10
99620272,1,1
104240343,1,1
107870951,1,1
108450607,3,3
108524355,1,1
113987669,6,6
115050267,1,1
115754870,1,1
119602583,1,1
122628049,1,1
125128723,1,1
126758373,21,16
138749160,1,1
140685353,1,1
140898168,4,4
141543992,2,2
144442101,1,1
148653311,1,1
152852932,15,13
156912564,4,2
157362942,1,1
159483882,1,1
162301746,2,2
162427574,6,6
163535738,1,1
165428443,7,7
167322189,2,2
167416267,2,2
168447977,3,3
173315794,3,3
179130623,5,5
180113275,19,16
184926151,2,2
186386857,1,1
190171522,2,2
194663746,2,2
198436154,4,4
206485760,1,1
207398891,2,2
207459741,1,1
207974147,1,1
209176493,2,2
209274991,2,2
210903844,2,2
212003801,1,1
213555363,1,1
216606161,1,1
218112550,1,1
220455907,1,1
222968477,1,1
226850413,1,1
229837716,1,1
230014404,1,1
234419133,2,2
234485974,1,1
239865886,1,1
243081824,2,2
244004636,14,9
248829087,13,11
252441188,1,1
254174364,2,2
255482837,3,3
255581365,1,1
255986116,5,5
258537744,4,4
259584126,4,4
260527870,1,1
262267551,1,1
270412323,1,1
273468342,1,1
273648929,82,27
280575139,1,1
291967580,1,1
292822200,1,1
296387635,1,1
302111485,17,16
303815965,5,2
305655577,15,8
306462816,5,4
306724690,1,1
308991080,4,4
311118058,1,1
311941597,2,2
312904576,6,6
314243234,1,1
317734636,6,6
330357834,3,3
331472966,6,6
331487598,16,9
332319927,2,2
333625072,1,1
334318803,1,1
338317842,1,1
340053578,2,2
346612013,1,1
349687389,5,4
358204197,1,1
358545917,1,1
365854454,56,37
366424769,1,1
374315940,2,2
379064309,2,2
380648579,1,1
381994185,10,10
388355698,6,1
396259700,1,1
399367980,3,3
403647191,1,1
414881623,2,2
417457529,1,1
420542453,33,12
424893128,3,2
428435379,3,1
435725661,1,1
436045893,1,1
450601261,1,1
454388038,4,4
455264233,30,15
455830743,8,8
461858710,1,1
470298741,1,1
471673488,2,2
478170193,2,2
487834443,5,4
488018270,48,34
489762508,3,3
490181551,1,1
492699686,1,1
497244729,1,1
497585578,20,6
510099744,4,4
512019219,2,2
521458643,1,1
521750725,3,3
526110917,5,4
526651652,7,7
529745558,1,1
534434172,2,2
544732668,2,2
556307338,1,1
566273326,4,4
577483196,4,4
577608165,2,2
586163145,55,18
591505507,2,2
608471241,1,1
611986351,1,1
618011830,9,7
628545424,4,4
629253651,1,1
629715036,12,8
629902814,1,1
630302721,20,9
631891239,2,1
703136774,1,1
703213361,1,1
740850751,1,1
756255906,1,1
778869643,1,1
823516964,9,5
826537184,9,4
829735580,1,1
833234856,2,2
844081278,5,5
850036892,2,2
861718436,2,2
879471643,3,3
897619242,19,18
908546028,1,1
927576336,2,2
929430463,1,1
933435002,2,2
934922696,5,5
938047747,2,2
954124423,116,51
955958994,1,1
958020944,13,13
967270627,4,4
975217231,1,1
1016220361,4,4
1034567318,7,4
1077181999,1,1
1103715715,5,5
1133701598,1,1
1135496646,9,9
1141341337,2,2
1169233927,1,1
1169506842,1,1
1191313830,1,1
1208695074,2,2
1208867773,4,4
1236713340,4,4
1250027652,2,2
1260552937,1,1
1273010575,3,3
1299769218,1,1
1301159580,1,1
1345200818,5,5
1379288282,3,3
1394072096,1,1
1403085170,1,1
1417793336,1,1
1427032460,2,2
1471615951,2,2
1475796312,2,2
1487957258,2,2
1493926051,1,1
1530736134,17,17
1536657750,20,12
1542805482,3,3
1551617970,1,1
1558861508,3,3
1561634388,3,2
1605836610,1,1
1609037767,1,1
1623758647,1,1
1625300959,1,1
1628552390,1,1
1661998495,1,1
1670366851,4,4
1703057576,2,2
1860213318,2,2
1880640066,1,1
1886151584,10,2
1888267922,6,6
1912095728,2,2
1943138839,1,1
2159335132,39,23
2166411026,9,1
2167525794,29,20
2177257933,1,1
2202862823,3,3
2205538201,1,1
2209355419,2,2
2217789408,3,3
2220399338,1,1
2237984875,1,1
2238558188,2,2
2251891789,9,7
2255015239,1,1
2267162084,1,1
2274622868,3,3
2291600034,19,14
2295343929,1,1
2300079561,12,12
2303144886,2,2
2304982278,1,1
2305000526,9,7
2323137780,2,2
2323229425,6,3
2330294508,1,1
2341500979,1,1
2354700919,1,1
2357491118,2,2
2361083941,4,3
2369640619,3,3
2398002414,2,2
2415316554,1,1
2419518318,1,1
2422267465,3,3
2422775929,6,2
2424583082,1,1
2432435052,3,3
2438013757,1,1
2441468996,3,3
2445809510,3,3
2455345196,1,1
2473757377,8,5
2508789031,5,3
2536301761,1,1
2562752942,8,8
2566535282,2,2
2577425461,1,1
2583889045,1,1
2584797956,4,4
2596413645,4,3
2610455685,1,1
2653471326,3,3
2674085833,10,10
2682483841,2,2
2718381160,5,5
2726549683,3,3
2742527622,1,1
2746979823,1,1
2752052868,22,7
2755430545,38,11
2766151782,1,1
2780282383,1,1
2784456429,1,1
2791190705,1,1
2813185695,1,1
2834579854,4,4
2836882956,1,1
2838002775,2,2
2841998391,83,21
2844434909,4,2
2845849081,14,8
2848435185,3,3
2862359981,2,1
2862858446,2,2
2868400327,1,1
2871588796,2,2
2874901822,1,1
2882292113,1,1
2882902307,1,1
2897665331,9,6
2915187060,1,1
2917187933,2,2
2917324007,1,1
2922345639,2,2
2926171413,1,1
2927236667,77,26
2944970250,1,1
2952358669,1,1
2961037665,1,1
2966118263,2,2
2969851065,1,1
2975094340,1,1
2976578589,3,3
2984077096,7,6
2990529982,1,1
3000486527,1,1
3005762823,2,2
3007183806,1,1
3019961223,1,1
3034402550,13,11
3044638385,1,1
3054317217,1,1
3059181352,1,1
3067057848,4,4
3074775040,1,1
3081921375,2,2
3089155533,15,10
3089497123,57,43
3091769284,1,1
3101694223,1,1
3102013813,5,5
3105864599,1,1
3110905846,1,1
3110915034,2,1
3125285702,1,1
3134261109,1,1
3150705876,18,17
3160381099,4,3
3177406031,1,1
3200060140,12,12
3227286237,3,3
3227400208,1,1
3237446726,1,1
3244921294,43,11
3249267995,1,1
3256973010,2,2
3257024966,2,2
3258059982,3,3
3284853163,1,1
3289112503,4,4
3296491876,1,1
3297022953,2,2
3298302672,1,1
3300575992,2,1
3302455838,71,23
3304105465,1,1
3307277274,1,1
3308161055,2,2
3310781904,1,1
3329180049,1,1
3351547995,7,7
3354964647,1,1
3356517545,3,3
3376781080,1,1
3381909233,1,1
3390107517,1,1
3391985055,1,1
3408519333,1,1
3413775700,5,5
3416682467,1,1
3632508195,1,1
3646443259,42,23
3677742792,1,1
3709329729,21,18
3735364760,20,3
3743411477,9,9
3938459357,1,1
4060021694,1,1
4112279381,4,4
4174485917,3,3
4175166177,3,3
4188704963,1,1
4195988602,16,12
4203239195,1,1
4222260865,6,6
4224729994,1,1
4244457140,2,2
4249000439,1,1
4288089627,3,3
4296903437,3,3
4312962377,3,3
4341845536,1,1
4346145681,83,22
4347642208,3,3
4425662357,3,2
4451263899,2,2
4573876514,3,3
4623007456,2,2
4627236323,2,2
4633251613,1,1
4641172161,3,3
4677900438,1,1
4743939435,22,11
4776058288,1,1
4855737567,3,3
4858580423,55,19
4865796322,10,10
4875890859,2,2
4904628554,5,5
4909948916,4,4
4919334447,4,4
4923917841,1,1
702303494053634049,2,2
702524531412488193,1,1
703892524340015104,2,2
704041886089084928,1,1
705039372429750272,2,2
705047741911736320,1,1
705165834524696577,2,2
706304044650909696,2,2
706959926879334400,1,1
707933844448677889,4,3
708041826058559489,4,4
708473580275638274,1,1
709479371380097024,3,3
711649894402928640,5,5
712894805223682048,2,2
714088170342715392,1,1
714251366399623172,1,1
714291478101516288,1,1
714670030458372097,1,1
718030016043466753,46,17
719153440107204608,1,1
719523870374563840,2,2
719555766537945088,4,4
719847464791076864,2,2
723206253296640000,20,14
724955143905619972,2,2
724955270372315137,7,7
725502475768225794,2,2
727458439736135680,1,1
731611745219973121,1,1
733212700659093504,3,3
733287872506298368,1,1
734270997176680448,1,1
739849079019212800,1,1
740254308285960192,1,1
740819719347900418,2,2
742369903500361732,2,2
742829015476633600,2,2
745374194993627136,4,4
749133664609382406,1,1
752130380862488576,1,1
754307693486215168,4,4
754455432815579136,1,1
754603420259082240,1,1
754669108608831489,1,1
755672251832217602,1,1
756540691036110849,1,1
761664001361211392,1,1
762300054119952389,1,1
763730245061140480,1,1
763827086826110976,4,2
763935668284239872,1,1
765626515610542080,1,1
765907775457198080,3,3
766050209126383617,1,1
768054459834462208,1,1
769299805717889024,1,1
769421337601335296,1,1
770844315451002880,1,1
771418663752728576,7,6
772412234727391233,1,1
772497898810511360,1,1
774273403050221568,1,1
774305380990128129,10,10
775017760808140800,1,1
776868044396191744,3,3
777565402427777024,3,3
778743504302321664,1,1
780508596949823488,2,2
781067466810220545,1,1
782382367142973440,1,1
782694332495073282,24,23
783221635839066112,1,1
784001155194118144,2,2
784476320923262976,1,1
784485229851512832,5,3
784765142349258752,1,1
785378096014880768,3,3
785926250523045890,4,4
786864752953790464,4,4
788420865012695040,1,1
789151567710711809,1,1
793947232949170180,43,4
796403983476736000,2,2
796603566886703105,4,4
796951595376316416,1,1
799242994545205248,6,6
799684694308634624,1,1
800399263599427584,1,1
801968995888984064,3,3
802315319385686016,16,15
802577501822349312,4,4
803628786486906880,1,1
805433385623568385,1,1
805449024602075137,3,2
807900239420014593,2,1
808297868410912768,1,1
809705011504697346,3,3
810916112384794625,1,1
811255185616027648,1,1
811265816683540480,4,4
811667167741669376,2,2
812078218031333376,1,1
813914393788481540,31,20
814211110261788673,1,1
814365134403633152,1,1
814563759725350912,1,1
816599230827626496,2,2
817323211922833409,1,1
817363939478695936,8,7
822868557394542592,2,2
824050433203245056,14,14
824637734295928832,1,1
824892735026966528,1,1
824943718302089216,4,4
827169651012427777,1,1
827730392530685952,2,2
828177799412334592,1,1
828406015259443202,1,1
831519910463434752,2,2
831783811713204224,2,2
831921710370869252,2,1
833263613276200962,2,1
833503008717697025,1,1
834161203857485824,1,1
835927492666011648,1,1
835944369769295873,1,1
835944726088003584,1,1
836040144490725377,1,1
838018569732501508,109,94
838070284297072641,8,8
839462267267788805,1,1
839935334343454720,1,1
841771766393520128,1,1
842335606705274880,2,2
843581745488445441,3,3
843840830871932928,2,2
843855993394122752,1,1
844581988719886337,2,2
844769417577717760,6,6
845246437759836160,1,1
845741574210375681,1,1
847043153265934336,1,1
847735496633536512,4,4
847918679379529728,1,1
848490554656784384,3,3
848760557087801344,4,4
848926305328529410,1,1
849001827903451137,1,1
849700654176239618,1,1
849838661504049152,1,1
850439744894980097,7,7
850546239066304512,4,3
851837820025131009,2,2
852495615602851841,2,2
854782095289397252,6,4
856777645186351105,4,4
857882231947358209,1,1
858095709517737984,1,1
858407531722547201,1,1
859628815609466880,3,3
860028286205915136,1,1
860808843667935232,1,1
861398066087305216,3,3
862722844232437760,2,2
862779392690458626,2,2
862836808945741825,1,1
863207054550286336,1,1
863627136032059392,1,1
864572609391763456,2,2
864663088368201730,1,1
865448264388169728,6,6
865689675985506304,4,4
867024485953687552,3,3
867053193171271686,1,1
867126950183051264,1,1
867148141610586117,1,1
867366611409412096,1,1
867514514287341569,12,10
868274776124657664,1,1
869323201381363717,1,1
869873353334632448,2,2
869979647282479105,1,1
870260618758152192,1,1
870420668998930432,1,1
870998486375960578,2,2
871013958341107713,1,1
871224785862180864,1,1
871229266985234432,1,1
871269724998520833,1,1
871311417214775296,1,1
871809411781668864,8,8
872403805148553216,1,1
874847856942866433,1,1
876523711997849600,1,1
877664979121565699,2,2
926783183584145408,1,1
941680316506411009,1,1
955730343021219840,1,1
956988729402560513,1,1
963508481780322304,1,1
980116740972695552,4,4
