source,target,weight
100048048,954124423,1
100246984,954124423,1
100388079,865448264388169728,1
1004070072,954124423,1
1004127458,954124423,1
1005465739,954124423,1
1006772498,248829087,1
1008689520,954124423,1
100920780,1535007216,1
100920780,420542453,1
100920780,487834443,1
1009250894,954124423,1
101148379,954124423,1
101221067,37020028,1
1012874467,4346145681,1
1013296250,147528633,1
1013296250,248829087,2
1013296250,526110917,1
1013296250,92460378,1
1013927761,455264233,1
101510168,346612013,1
101510168,98250867,1
1015111746,4573876514,1
1016189833,200115775,1
101651525,954124423,1
101736242,248829087,2
101736242,2927819278,1
101736242,526110917,3
1017662618,954124423,1
101823726,954124423,1
1018339381,388355698,3
101845075,27058591,1
1018786610,147528633,1
1018786610,215584318,1
1018786610,478170193,1
1018786610,526110917,1
1018786610,760497714652151808,1
1018786610,92460378,2
101936528,302111485,1
1020365538,4425662357,1
1020365538,92460378,2
102089809,2166411026,1
102442110,954124423,1
1026821912,726464337510981633,1
1027404487,2894398433,1
1027404487,865448264388169728,1
102855586,954124423,1
102909501,954124423,1
1029432889,374712154,1
1029432889,455264233,1
103162772,1583865109,1
10324632,954124423,1
1033157774,331487598,1
1034277661,725851021688328193,1
1034277661,92460378,1
1034567318,586163145,1
1035098654,98250867,1
1035376896,455264233,1
1036663681,954124423,1
1037597940,478170193,1
1037597940,526110917,1
1040100182,7493052,1
1040543570,92460378,1
104061714,954124423,1
104170025,954124423,1
104207796,954124423,1
10467892,70656697,1
1048300700,954124423,1
1049546142,1605836610,2
1049546142,248829087,1
1049546142,478170193,1
1049546142,98250867,4
105081437,137623391,1
1051202035,487834443,1
1051688581,126758373,1
1051688581,2514549749,1
1051791354,92460378,2
105287629,2167525794,1
1053967986,954124423,1
105415519,577929134,1
1056176180,455264233,1
1056808508,954124423,1
1058404628,2841998391,1
1058549485,954124423,1
1059040274,954124423,1
1059236136,478170193,1
1059236136,482838365,1
1059236136,519149792,1
1059236136,92460378,1
1061889990,302111485,1
1062600966,954124423,1
1065001537,388355698,1
106503644,954124423,1
1067528358,455264233,1
106911238,954124423,1
1071986694,15669672,1
107229597,954124423,1
1074614652,954124423,1
1074726764,954124423,1
1075077667,954124423,1
107582775,95142854,1
107603126,4346145681,1
1077541242,954124423,1
1077593562,482838365,1
1077950875,954124423,1
1079343476,200115775,1
1079343476,326003773,1
107951123,180113275,1
107988623,93399809,1
1080494443,615372713,1
108072801,954124423,1
1081560516,866955690279149568,1
1081917192,3244921294,1
108199025,954124423,1
108354916,302111485,1
1085411936,954124423,1
108751302,954124423,1
1087724815,838018569732501508,2
1087833151,954124423,1
108874241,455264233,1
1090352485,954124423,1
109045257,2167525794,1
109233292,838018569732501508,1
109262531,954124423,1
1092957523,954124423,1
109351574,954124423,2
1095464694,1728451099,1
1095464694,2166411026,1
1095919548,3089497123,2
109623426,954124423,1
10979872,954124423,1
1098918846,455264233,1
1100079385,248829087,1
110035909,954124423,1
1102507878,740416304155332612,1
1105184047,954124423,1
1105228530,126758373,1
1105228530,201669414,1
1105228530,66732993,1
1105228530,98250867,1
1105249272,92460378,1
110567206,954124423,1
1106307541,4347642208,1
1106507400,954124423,1
1106613330,306462816,1
1106613330,86665649,1
1106613330,92460378,3
1107406302,302111485,1
1108592268,2841998391,1
111054675,954124423,1
1110571916,302111485,1
111119744,99295348,1
111133610,48304732,1
1111506432,478170193,1
111247911,3302455838,1
1113147242,302111485,1
111495996,954124423,1
111680876,954124423,1
1119342433,793947232949170180,1
111955898,954124423,1
1119922741,707933844448677889,1
112147757,92460378,1
1123938558,954124423,1
112582208,455264233,1
1129069351,420542453,1
1129187396,954124423,1
112921460,954124423,2
1129661486,954124423,1
1129886599,827421830,1
113004019,791105297066491904,1
113081744,954124423,1
1132037558,719514424,1
1132100246,2167525794,1
113238199,954124423,1
1133349769,954124423,1
1133746248,248829087,1
1133746248,3074775040,1
11339402,954124423,1
1134302798,92460378,1
1135175040,954124423,1
1135718227,865448264388169728,1
113671793,92460378,1
1137779952,1137779952,1
1137779952,1530736134,3
1137779952,1536657750,1
1137779952,2227005247,1
1137779952,2258952464,1
1137779952,2473757377,2
1137779952,2741143415,1
1137779952,280921458,1
1137779952,2844434909,1
1137779952,3028824741,1
1137779952,303815965,1
1137779952,533115757,1
1137779952,761220634349277184,1
1137779952,766541583797723136,2
1137779952,86665649,1
1138066470,954124423,1
1138721281,954124423,1
1140120678,954124423,1
1140541602,302111485,1
1141097725,302111485,1
114111229,954124423,1
114188352,839214635001618432,1
1142312972,440336544,1
1146809210,954124423,1
1147991791,954124423,1
114823076,2970835618,1
114823560,4573876514,1
114872258,954124423,1
114887763,954124423,2
114888335,4289328804,1
1149378091,954124423,1
114955534,50797952,1
1149692724,2508789031,1
1150585999,954124423,2
115073436,954124423,1
1150888405,248829087,2
1150888405,478170193,1
115105548,954124423,1
1151507820,455264233,1
1152010034,4718260708,1
115400791,455264233,1
115473990,954124423,1
115543224,277761008,1
1155501080,2167525794,1
1155534600,954124423,1
1155731180,954124423,1
1156371384,954124423,1
115782657,273648929,1
1158183745,954124423,1
115821984,388355698,1
1158399552,954124423,1
116064137,954124423,1
1160775618,954124423,1
1161161875,954124423,1
1163486364,487834443,1
1163486364,526110917,1
1163486364,760497714652151808,1
1163486364,783003310219464704,1
1163486364,92460378,1
1163486364,963106200,1
1165708826,734755116780249089,1
1165957686,954124423,1
1166754726,954124423,1
1167448458,954124423,1
116774813,302111485,1
116774813,487834443,2
1169286608,844769417577717760,1
1169286608,954124423,1
117035429,248829087,1
1170389426,302111485,1
1171487460,954124423,1
1173151501,954124423,1
1173812072,2778396034,1
1173812072,92460378,1
1174331076,1442695026,1
1174762118,586163145,1
117493008,954124423,1
1175290364,2897665331,1
117630387,954124423,1
1177632823,954124423,1
1178028691,487834443,1
1178028691,526110917,1
117948113,15669672,1
1180655028,3306484243,1
118070021,954124423,2
1183101655,954124423,1
118443913,80808661,1
118518154,954124423,1
118687158,302111485,1
118751135,201669414,1
118751135,248829087,2
118751135,86665649,3
118751135,92460378,5
119044968,954124423,1
119055347,526110917,1
119183782,326003773,1
119183782,764617494761971714,1
1194589808,519149792,1
1194874640,92460378,1
1195029284,2736994923,1
1195088827,248829087,1
119771879,954124423,1
1199372545,954124423,1
120039960,291438698,1
1201256322,487834443,1
1205870964,180113275,1
1205999136,954124423,1
120619291,4573876514,1
1206962444,2841998391,2
1208802133,954124423,1
121171999,954124423,1
121320968,954124423,1
1213529005,302111485,1
1214235727,302111485,1
1214487787,954124423,1
121511495,954124423,1
1216957579,954124423,3
1219326096,372179642,1
121947825,302111485,1
1219828123,954124423,1
1219921500,1728451099,1
122111073,954124423,1
1221403940,1246544485,1
1222028304,302111485,1
1222028304,954124423,1
1223315011,302111485,1
1226297179,847058400076840962,1
1226673523,954124423,1
1228655814,954124423,1
122975364,954124423,1
1229818309,838018569732501508,16
1230214950,388355698,1
1231055906,864572609391763456,1
1232757781,954124423,1
1234920200,482838365,1
1234987687,954124423,1
123727717,2876754270,1
1239132415,1535007216,1
1239831878,302111485,1
124224983,92460378,1
1243316630,586163145,1
124410425,954124423,1
1244786641,3044843579,1
1246178089,4573876514,1
124842784,302111485,1
1249410956,388355698,1
1252655358,302111485,1
1253030474,2755430545,1
1253625300,3089155533,1
1254145386,92460378,1
1254873175,98250867,1
125565652,1889899296,1
1255748754,954124423,1
1256590034,1536657750,1
1256753802,954124423,1
1257058543,33332251,1
